164;"6D";"HPT";"SP";"HA4";2;4;;
165;"6D";"LA";"REL";"A17";1;5;;
165;"6D";"LA";"REL";"A17";5;2;;
166;"7A";"SHZ";"D";"A14";3;3;;
166;"7A";"SHZ";"D";"A14";3;4;;
166;"7A";"SHZ";"D";"A14";4;4;;
166;"7A";"SHZ";"D";"A14";5;6;;
167;"7A";"SLT";"E5";"A14";2;1;;
167;"7A";"SLT";"E5";"A14";2;2;;
167;"7A";"SLT";"E5";"A14";3;6;;
167;"7A";"SLT";"E5";"A14";4;6;;
168;"7A";"MAR";"KU";"A14";5;1;;
168;"7A";"MAR";"KU";"A14";5;2;;
169;"7A";"HTZ";"BI";"A14";2;6;;
169;"7A";"HTZ";"BI";"A14";4;5;;
170;"7A";"WCK";"M";"A14";3;2;;
170;"7A";"WCK";"M";"A14";4;1;;
170;"7A";"WCK";"M";"A14";5;3;;
945;"7A";"SLT";"SP";"HA3";5;5;;
947;"7A";"SLT";"SP";"HA3";1;1;;
947;"7A";"SLT";"SP";"HA3";1;2;;
947;"7A";"SLT";"EIS";"EIS";1;1;;
947;"7A";"SLT";"EIS";"EIS";1;2;;
172;"7B";"KRO";"D";"A12";2;5;;
172;"7B";"KRO";"D";"A12";4;5;;
172;"7B";"KRO";"D";"A12";5;1;;
172;"7B";"KRO";"D";"A12";5;2;;
917;"7B";"MVT";"E5";"A12";1;3;;
917;"7B";"MVT";"E5";"A12";3;2;;
917;"7B";"MVT";"E5";"A12";4;6;;
917;"7B";"MVT";"E5";"A12";5;6;;
174;"7B";"MAR";"KU";"A12";3;3;;
174;"7B";"MAR";"KU";"A12";3;4;;
175;"7B";"HOE";"BI";"A12";2;1;;
175;"7B";"HOE";"BI";"A12";2;2;;
176;"7B";"HOE";"M";"A12";1;4;;
176;"7B";"HOE";"M";"A12";2;6;;
176;"7B";"HOE";"M";"A12";4;1;;
177;"7C";"IMG";"D";"A11";2;5;;
177;"7C";"IMG";"D";"A11";2;6;;
177;"7C";"IMG";"D";"A11";3;5;;
177;"7C";"IMG";"D";"A11";4;1;;
178;"7C";"SN";"E5";"A11";1;1;;
178;"7C";"SN";"E5";"A11";2;1;;
178;"7C";"SN";"E5";"A11";2;2;;
178;"7C";"SN";"E5";"A11";4;5;;
179;"7C";"PA";"KU";"A11";3;3;;
179;"7C";"PA";"KU";"A11";3;4;;
180;"7C";"LBR";"BI";"A11";4;6;;
180;"7C";"LBR";"BI";"A11";5;1;;
181;"7C";"MOL";"CH";"A11";3;6;;
181;"7C";"MOL";"CH";"H06";5;3;;
182;"7C";"WIS";"M";"A11";1;2;;
182;"7C";"WIS";"M";"A11";5;5;;
182;"7C";"WIS";"M";"A11";5;6;;
183;"7D";"BOH";"D";"A13";1;1;;
183;"7D";"BOH";"D";"A13";3;3;;
183;"7D";"BOH";"D";"A13";4;4;;
183;"7D";"BOH";"D";"A13";5;6;;
919;"7D";"SND";"E5";"A13";2;5;;
919;"7D";"SND";"E5";"A13";3;5;;
919;"7D";"SND";"E5";"A13";4;6;;
919;"7D";"SND";"E5";"A13";5;5;;
185;"7D";"ZI";"KU";"A13";4;8;;
185;"7D";"ZI";"KU";"A13";4;9;;
186;"7D";"RCH";"BI";"A13";3;6;;
186;"7D";"RCH";"BI";"A13";5;1;;
187;"7D";"LF";"M";"A13";1;2;;
187;"7D";"LF";"M";"A13";2;6;;
187;"7D";"LF";"M";"A13";4;1;;
188;"9A";"ME";"D";"B05";1;2;;
188;"9A";"ME";"D";"B05";3;2;;
188;"9A";"ME";"D";"B05";3;3;;
189;"9A";"HTZ";"E5";"B05";2;3;;
189;"9A";"HTZ";"E5";"B05";5;2;;
189;"9A";"HTZ";"E5";"B05";5;3;;
190;"9A";"KRM";"BI";"B05";1;3;;
190;"9A";"KRM";"BI";"B05";1;4;;
191;"9A";"MOL";"CH";"H01";2;4;;
191;"9A";"MOL";"CH";"H06";5;4;;
192;"9A";"PRF";"PH";"B05";3;4;;
192;"9A";"PRF";"PH";"B05";5;6;;
194;"9A";"CHD";"EK";"B05";2;5;;
194;"9A";"CHD";"EK";"B05";2;6;;
196;"9A";"PRF";"M";"B05";3;5;;
196;"9A";"PRF";"M";"B05";3;6;;
196;"9A";"PRF";"M";"B05";5;1;;
197;"9A";"JHF";"SP";"HA3";4;1;;
197;"9A";"JHF";"SP";"HA3";4;2;;
198;"9B";"BOH";"D";"B07";1;2;;
198;"9B";"BOH";"D";"B07";3;2;;
198;"9B";"BOH";"D";"B07";5;3;;
199;"9B";"AGR";"E5";"B07";2;5;;
199;"9B";"AGR";"E5";"B07";2;6;;
199;"9B";"AGR";"E5";"B07";5;4;;
855;"9B";"GB";"BI";"B07";2;1;;
855;"9B";"GB";"BI";"B07";2;2;;
201;"9B";"MOL";"CH";"H05";2;3;;
